raw_data,packet_len,ad_cnt,ad_len,ad_type,label,classic_bluetooth,manufacturer_or_service
0201061bff2909c81c50102233d584fc423377544be348518438c90fbf6f4f0909552d424c444f5832,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
0201061bff2909c81c3b102233d584fc42337754c7ee8e31e4b19baa11b9b70909552d424c444f5854,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
0201061bff2909c81c30102233d584fc42337754d46a8a4b67f6c10106aaf50909552d424c444f5834,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
0201060303edfe0d16edfe02006c84e45d9a6c6544050954696c62,54,4,"[2, 3, 13, 5]","['01', '03', '16', '09']",tracker,no,1
0201061bff2909c81c34102233d584fc423377541758e02256745eaaeb03ad0909552d424c444f5859,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
0201060303edfe0d16edfe02009b16c093c3d75818050954696c03,54,4,"[2, 3, 13, 5]","['01', '03', '16', '09']",non_tracker,no,1
02011a1bff8f031601148c42e4e45f00000005a46e46c76b740102030405060dff2717080302505e6e6bc74618,90,3,"[2, 27, 13]","['01', 'ff', 'ff']",non_tracker,yes,1
0201061bff2909c81c28102233d584fc423377549931e28c063d878c6f65400909552d424c444f5853,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
1eff4c00121910000908a43dc523a0f2d037a0708e4e76f9e1f63e9fec03c3,62,1,[30],['ff'],tracker,unknown,1
0201060303edfe0d16edfe0200e92dd68464dea1fc050954696c65,54,4,"[2, 3, 13, 5]","['01', '03', '16', '09']",tracker,no,1
0201061bff2909c81c38102233d584fc42337754d07294a240cd373d100cc40909552d424c444f5888,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
02011a020a070cff4c001007361b124ee85843,38,3,"[2, 2, 12]","['01', '0a', 'ff']",non_tracker,yes,1
02011a020a070cff4c0010073b1f2ff6f3bb65,38,3,"[2, 2, 12]","['01', '0a', 'ff']",non_tracker,yes,1
02011a020a070cff4c001007371f2ff6f3bb51,38,3,"[2, 2, 12]","['01', '0a', 'ff']",non_tracker,yes,1
0201060303edfe0d16edfe0200345ff413418d3549050954696c84,54,4,"[2, 3, 13, 5]","['01', '03', '16', '09']",tracker,no,1
0201020d0953523130312d306439653177,34,2,"[2, 13]","['01', '09']",non_tracker,yes,0
0201061bff2909c81c16102233d584fc42337754a09bc225cd90ad48bca00a0909552d424c444f5825,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
0b16eefd0503000603810277,24,1,[11],['16'],tracker,unknown,1
02011a020a0713ff4c000c0e00c573b740579b3457378c22f8d9,52,3,"[2, 2, 19]","['01', '0a', 'ff']",non_tracker,yes,1
0201061bff2909c81c17102233d584fc42337754377cab62fc4e495764ee350909552d424c444f5868,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
1eff7d02201901eb0402557d5767e1f830dea83b167c94c1adfa6fd589ba89,62,1,[30],['ff'],tracker,unknown,1
0201060303edfe0d16edfe020092f8d898cc2ee0f0050954696c08,54,4,"[2, 3, 13, 5]","['01', '03', '16', '09']",tracker,no,1
0201060303edfe0d16edfe0200ebb913fe5ee8d444050954696c41,54,4,"[2, 3, 13, 5]","['01', '03', '16', '09']",tracker,no,1
0201061bff2909c81c48102233d584fc42337754027610c7ff2c147b66206a0909552d424c444f5838,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
0201061bff2909c81c42102233d584fc42337754db51f6404e3546cb723d180909552d424c444f5807,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
1eff4c001219200e7f8cb6bf68a3922fe4ae66a8f2bce29c61018c26480086,62,1,[30],['ff'],tracker,unknown,1
0201001916eefd01010102c70300013504010b430f01100011f3130641,58,2,"[2, 25]","['01', '16']",non_tracker,yes,1
0201061bff2909c81c50102233d584fc423377544be348518438c90fbf6f4f0909552d424c444f5824,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
1eff4c00121910000908a43dc523a0f2d037a0708e4e76f9e1f63e9fec0324,62,1,[30],['ff'],tracker,unknown,1
02011808ff7d02010303ffff0816eefd0101000f01020a0017094855415745492057415443482047542032652d434119,96,5,"[2, 8, 8, 2, 23]","['01', 'ff', '16', '0a', '09']",non_tracker,yes,1
0201061bff2909c81c19102233d584fc4233775483e3f7779404a633cfab5e0909552d424c444f5864,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
0201061bff2909c81c2c102233d584fc423377542e344302df310ebeed0a0c0909552d424c444f5894,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
02011a020a070cff4c001007301bafb5451e50,38,3,"[2, 2, 12]","['01', '0a', 'ff']",tracker,yes,1
0201060303edfe0d16edfe02006c84e45d9a6c6544050954696c01,54,4,"[2, 3, 13, 5]","['01', '03', '16', '09']",tracker,no,1
1eff4c001219206716ea0488dbdbd398c24ee22b599482bb24644afce502a30a0b4d4f4d415820425269,84,2,"[30, 10]","['ff', '0b']",tracker,unknown,1
0b16eefd0503000603030267,24,1,[11],['16'],tracker,unknown,1
02010611072f2a93a6bdd84152ac0b10992ec6feed07ffa3966c393dd40e094261736575732054322050726f,88,4,"[2, 17, 7, 14]","['01', '07', 'ff', '09']",tracker,no,1
1eff4c00121910000908a43dc523a0f2d037a0708e4e76f9e1f63e9fec0357,62,1,[30],['ff'],tracker,unknown,1
0201060303edfe0d16edfe0200219c8e3851ebc625050954696c09,54,4,"[2, 3, 13, 5]","['01', '03', '16', '09']",tracker,no,1
1eff4c00121910711ad7443037f58e1f7f360fdc53ca4d1b2eeb3be25d02fd,62,1,[30],['ff'],tracker,unknown,1
0201060303edfe0d16edfe020051fb4d80ea99a9bd050954696c23,54,4,"[2, 3, 13, 5]","['01', '03', '16', '09']",tracker,no,1
02010607ff64687654566f030300790c094544494649455220424c45,56,4,"[2, 7, 3, 12]","['01', 'ff', '03', '09']",non_tracker,no,1
0201061bff2909c81c13102233d584fc423377542cdbc35edf490b2da8345c0909552d424c444f5861,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
0201061bff2909c81c02102233d584fc42337754a0de2eb3f00aaed89ae7af0909552d424c444f5861,82,3,"[2, 27, 9]","['01', 'ff', '09']",non_tracker,no,1
